TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
BKN,BKN @ MIL,10/19/2021,L,48,104,37,84,44,17,32,53.1,13,23,56.5,5,39,44,19,13,3,9,17,-23
MIL,MIL vs. BKN,10/19/2021,W,48,127,48,105,45.7,17,45,37.8,14,18,77.8,13,41,54,25,8,8,9,19,23
GSW,GSW @ LAL,10/19/2021,W,48,121,41,93,44.1,14,39,35.9,25,30,83.3,9,41,50,30,17,9,2,18,7
LAL,LAL vs. GSW,10/19/2021,L,48,114,45,95,47.4,15,42,35.7,9,19,47.4,5,40,45,21,18,7,4,25,-7
PHX,PHX vs. DEN,10/20/2021,L,48,98,36,87,41.4,14,37,37.8,12,17,70.6,11,34,45,23,18,9,3,18,-12
ORL,ORL @ SAS,10/20/2021,L,48,97,35,86,40.7,9,29,31,18,23,78.3,13,31,44,17,16,6,6,20,-26
HOU,HOU @ MIN,10/20/2021,L,48,106,40,88,45.5,11,33,33.3,15,22,68.2,12,29,41,21,24,13,3,25,-18
WAS,WAS @ TOR,10/20/2021,W,48,98,36,81,44.4,5,27,18.5,21,26,80.8,7,44,51,20,22,14,8,17,15
UTA,UTA vs. OKC,10/20/2021,W,48,107,40,91,44,14,47,29.8,13,15,86.7,12,41,53,18,10,6,5,19,21
POR,POR vs. SAC,10/20/2021,L,48,121,45,93,48.4,12,35,34.3,19,22,86.4,9,40,49,25,13,5,5,22,-3
CHI,CHI @ DET,10/20/2021,W,48,94,37,86,43,7,23,30.4,13,15,86.7,9,39,48,18,17,8,5,19,6
IND,IND @ CHA,10/20/2021,L,48,122,42,90,46.7,17,47,36.2,21,24,87.5,8,43,51,29,17,2,10,24,-1
CHA,CHA vs. IND,10/20/2021,W,48,123,46,107,43,13,31,41.9,18,27,66.7,12,34,46,29,8,9,5,21,1
PHI,PHI @ NOP,10/20/2021,W,48,117,44,85,51.8,13,25,52,16,20,80,6,41,47,24,13,9,5,11,20
DET,DET vs. CHI,10/20/2021,L,48,88,36,90,40,6,28,21.4,10,13,76.9,11,36,47,17,17,7,5,16,-6
DEN,DEN @ PHX,10/20/2021,W,48,110,44,83,53,17,39,43.6,5,9,55.6,6,40,46,25,19,9,1,20,12
MEM,MEM vs. CLE,10/20/2021,W,48,132,53,100,53,14,33,42.4,12,12,100,13,40,53,28,12,8,8,15,11
CLE,CLE @ MEM,10/20/2021,L,48,121,47,93,50.5,14,38,36.8,13,18,72.2,7,29,36,38,11,6,5,17,-11
OKC,OKC @ UTA,10/20/2021,L,48,86,34,91,37.4,7,35,20,11,18,61.1,15,35,50,19,15,4,2,15,-21
SAC,SAC @ POR,10/20/2021,W,48,124,42,92,45.7,17,41,41.5,23,29,79.3,7,36,43,24,10,6,4,22,3
NOP,NOP vs. PHI,10/20/2021,L,48,97,39,93,41.9,13,30,43.3,6,9,66.7,10,34,44,28,14,5,6,16,-20
BOS,BOS @ NYK,10/20/2021,L,58,134,48,117,41,21,57,36.8,17,23,73.9,15,41,56,34,18,13,9,24,-4
MIN,MIN vs. HOU,10/20/2021,W,48,124,42,87,48.3,16,38,42.1,24,31,77.4,13,33,46,26,18,18,12,22,18
SAS,SAS vs. ORL,10/20/2021,W,48,123,49,98,50,13,30,43.3,12,18,66.7,13,30,43,32,8,8,3,22,26
TOR,TOR vs. WAS,10/20/2021,L,48,83,30,97,30.9,7,34,20.6,16,22,72.7,19,35,54,14,19,10,4,21,-15
NYK,NYK vs. BOS,10/20/2021,W,58,138,51,105,48.6,17,45,37.8,19,27,70.4,7,48,55,27,19,9,10,22,4
MIA,MIA vs. MIL,10/21/2021,W,48,137,51,96,53.1,15,35,42.9,20,31,64.5,11,47,58,28,11,8,2,26,42
DAL,DAL @ ATL,10/21/2021,L,48,87,31,93,33.3,13,43,30.2,12,13,92.3,10,40,50,16,15,7,3,21,-26
ATL,ATL vs. DAL,10/21/2021,W,48,113,45,94,47.9,15,35,42.9,8,9,88.9,6,49,55,31,13,8,9,16,26
LAC,LAC @ GSW,10/21/2021,L,48,113,42,96,43.8,14,40,35,15,21,71.4,8,31,39,24,7,9,2,25,-2
MIL,MIL @ MIA,10/21/2021,L,48,95,32,84,38.1,12,42,28.6,19,29,65.5,5,33,38,19,15,6,0,26,-42
GSW,GSW vs. LAC,10/21/2021,W,48,115,43,83,51.8,15,31,48.4,14,22,63.6,10,43,53,27,21,5,4,20,2
ORL,ORL vs. NYK,10/22/2021,L,48,96,33,83,39.8,17,43,39.5,13,15,86.7,9,37,46,24,19,5,3,18,-25
LAL,LAL vs. PHX,10/22/2021,L,48,105,34,86,39.5,15,34,44.1,22,29,75.9,12,34,46,25,16,7,3,26,-10
HOU,HOU vs. OKC,10/22/2021,W,48,124,48,95,50.5,17,38,44.7,11,14,78.6,10,44,54,29,17,12,10,18,33
IND,IND @ WAS,10/22/2021,L,53,134,52,97,53.6,15,34,44.1,15,20,75,7,35,42,28,12,5,6,22,-1
TOR,TOR @ BOS,10/22/2021,W,48,115,42,100,42,10,35,28.6,21,21,100,21,39,60,22,12,16,2,13,32
SAC,SAC vs. UTA,10/22/2021,L,48,101,39,99,39.4,8,36,22.2,15,21,71.4,16,36,52,20,15,15,5,22,-9
CHI,CHI vs. NOP,10/22/2021,W,48,128,47,89,52.8,14,28,50,20,25,80,11,35,46,32,14,9,7,14,16
WAS,WAS vs. IND,10/22/2021,W,53,135,49,94,52.1,19,38,50,18,19,94.7,6,32,38,24,9,5,6,21,1
CHA,CHA @ CLE,10/22/2021,W,48,123,48,91,52.7,13,32,40.6,14,17,82.4,11,35,46,32,18,13,1,16,11
PHX,PHX @ LAL,10/22/2021,W,48,115,42,86,48.8,10,32,31.3,21,28,75,7,40,47,31,12,8,2,22,10
OKC,OKC @ HOU,10/22/2021,L,48,91,34,91,37.4,14,43,32.6,9,16,56.3,8,31,39,22,19,9,4,21,-33
SAS,SAS @ DEN,10/22/2021,L,48,96,40,84,47.6,6,24,25,10,14,71.4,7,32,39,24,20,11,2,17,-6
PHI,PHI vs. BKN,10/22/2021,L,48,109,43,91,47.3,14,36,38.9,9,11,81.8,5,30,35,17,10,8,9,21,-5
BKN,BKN @ PHI,10/22/2021,W,48,114,41,88,46.6,12,38,31.6,20,24,83.3,11,36,47,26,13,6,6,16,5
NYK,NYK @ ORL,10/22/2021,W,48,121,44,88,50,24,54,44.4,9,17,52.9,6,32,38,34,11,10,4,19,25
CLE,CLE vs. CHA,10/22/2021,L,48,112,43,84,51.2,9,31,29,17,20,85,7,29,36,26,19,9,3,15,-11
UTA,UTA @ SAC,10/22/2021,W,48,110,37,90,41.1,16,42,38.1,20,23,87,13,38,51,16,19,14,3,17,9
DEN,DEN vs. SAS,10/22/2021,W,48,102,44,86,51.2,9,30,30,5,8,62.5,8,33,41,26,21,10,2,21,6
NOP,NOP @ CHI,10/22/2021,L,48,112,42,87,48.3,15,29,51.7,13,16,81.3,9,33,42,26,17,7,5,20,-16
BOS,BOS vs. TOR,10/22/2021,L,48,83,32,82,39,11,34,32.4,8,11,72.7,10,32,42,19,25,6,12,19,-32
CLE,CLE vs. ATL,10/23/2021,W,48,101,37,89,41.6,7,28,25,20,27,74.1,12,42,54,23,10,6,6,16,6
DET,DET @ CHI,10/23/2021,L,48,82,34,88,38.6,5,28,17.9,9,15,60,11,42,53,14,23,9,8,17,-15
POR,POR vs. PHX,10/23/2021,W,48,134,51,94,54.3,21,50,42,11,17,64.7,8,40,48,24,9,8,5,15,29
MEM,MEM @ LAC,10/23/2021,W,48,120,42,90,46.7,15,36,41.7,21,25,84,13,35,48,26,11,5,3,19,6
LAC,LAC vs. MEM,10/23/2021,L,48,114,43,99,43.4,13,39,33.3,15,17,88.2,14,30,44,23,7,7,4,21,-6
MIN,MIN vs. NOP,10/23/2021,W,48,96,39,96,40.6,12,38,31.6,6,10,60,13,34,47,22,20,13,8,25,7
DAL,DAL @ TOR,10/23/2021,W,48,103,38,91,41.8,14,42,33.3,13,18,72.2,13,37,50,24,9,6,6,22,8
CHI,CHI vs. DET,10/23/2021,W,48,97,35,84,41.7,11,26,42.3,16,19,84.2,3,39,42,24,13,13,11,17,15
MIA,MIA @ IND,10/23/2021,L,53,91,35,91,38.5,9,33,27.3,12,14,85.7,10,45,55,18,22,4,2,25,-11
ATL,ATL @ CLE,10/23/2021,L,48,95,38,99,38.4,10,34,29.4,9,15,60,17,37,54,20,9,5,3,23,-6
NOP,NOP @ MIN,10/23/2021,L,48,89,31,89,34.8,9,40,22.5,18,23,78.3,21,40,61,15,30,10,5,22,-7
SAS,SAS vs. MIL,10/23/2021,L,48,111,48,99,48.5,10,39,25.6,5,6,83.3,10,28,38,29,13,10,4,18,-10
TOR,TOR vs. DAL,10/23/2021,L,48,95,34,85,40,11,37,29.7,16,23,69.6,11,38,49,17,12,7,6,23,-8
PHX,PHX @ POR,10/23/2021,L,48,105,43,89,48.3,9,28,32.1,10,15,66.7,7,31,38,27,14,6,1,19,-29
IND,IND vs. MIA,10/23/2021,W,53,102,38,97,39.2,10,39,25.6,16,21,76.2,14,41,55,18,16,10,5,18,11
MIL,MIL @ SAS,10/23/2021,W,48,121,44,83,53,15,35,42.9,18,22,81.8,7,37,44,21,22,6,5,15,10
BKN,BKN vs. CHA,10/24/2021,L,48,95,38,87,43.7,9,35,25.7,10,12,83.3,9,35,44,18,17,10,8,19,-16
ORL,ORL @ NYK,10/24/2021,W,48,110,36,88,40.9,12,43,27.9,26,34,76.5,10,47,57,22,13,7,4,25,6
LAL,LAL vs. MEM,10/24/2021,W,48,121,45,84,53.6,16,30,53.3,15,22,68.2,9,27,36,29,17,10,12,14,3
NYK,NYK vs. ORL,10/24/2021,L,48,104,37,100,37,13,48,27.1,17,25,68,16,36,52,20,12,8,8,21,-6
HOU,HOU vs. BOS,10/24/2021,L,48,97,32,75,42.7,14,32,43.8,19,24,79.2,5,35,40,20,20,7,4,20,-10
SAC,SAC vs. GSW,10/24/2021,L,48,107,42,86,48.8,15,46,32.6,8,13,61.5,10,37,47,26,19,0,4,16,-12
GSW,GSW @ SAC,10/24/2021,W,48,119,43,97,44.3,13,37,35.1,20,24,83.3,14,29,43,26,7,12,3,13,12
PHI,PHI @ OKC,10/24/2021,W,48,115,41,88,46.6,17,41,41.5,16,20,80,12,35,47,25,12,4,9,17,12
MEM,MEM @ LAL,10/24/2021,L,48,118,45,100,45,13,35,37.1,15,18,83.3,18,31,49,25,17,13,4,20,-3
CHA,CHA @ BKN,10/24/2021,W,48,111,43,94,45.7,10,30,33.3,15,19,78.9,10,38,48,26,12,10,5,17,16
OKC,OKC vs. PHI,10/24/2021,L,48,103,40,84,47.6,8,31,25.8,15,19,78.9,6,36,42,24,11,9,4,17,-12
BOS,BOS @ HOU,10/24/2021,W,48,107,38,86,44.2,15,47,31.9,16,20,80,6,37,43,22,12,10,6,22,10
ATL,ATL vs. DET,10/25/2021,W,48,122,46,90,51.1,12,32,37.5,18,21,85.7,10,39,49,24,16,11,3,19,18
CHI,CHI @ TOR,10/25/2021,W,48,111,39,81,48.1,12,27,44.4,21,22,95.5,5,24,29,24,13,11,3,16,3
MIL,MIL @ IND,10/25/2021,W,48,119,41,85,48.2,11,32,34.4,26,31,83.9,7,35,42,24,14,13,6,19,10
POR,POR @ LAC,10/25/2021,L,48,86,32,85,37.6,8,37,21.6,14,18,77.8,7,40,47,15,30,11,4,18,-30
WAS,WAS @ BKN,10/25/2021,L,48,90,33,95,34.7,9,39,23.1,15,20,75,10,43,53,16,12,5,5,17,-14
BOS,BOS @ CHA,10/25/2021,W,53,140,50,101,49.5,19,50,38,21,25,84,11,42,53,33,12,8,9,23,11
ORL,ORL @ MIA,10/25/2021,L,48,90,33,81,40.7,12,44,27.3,12,19,63.2,6,33,39,21,18,7,6,22,-17
DET,DET @ ATL,10/25/2021,L,48,104,40,91,44,9,33,27.3,15,18,83.3,11,25,36,26,14,7,6,15,-18
MIA,MIA vs. ORL,10/25/2021,W,48,107,41,87,47.1,6,27,22.2,19,19,100,9,33,42,28,11,10,2,19,17
CHA,CHA vs. BOS,10/25/2021,L,53,129,46,103,44.7,19,44,43.2,18,28,64.3,14,38,52,26,14,4,6,25,-11
CLE,CLE @ DEN,10/25/2021,W,48,99,38,82,46.3,7,25,28,16,20,80,11,38,49,26,16,8,5,18,12
IND,IND vs. MIL,10/25/2021,L,48,109,40,90,44.4,14,36,38.9,15,17,88.2,12,35,47,23,19,6,1,24,-10
LAC,LAC vs. POR,10/25/2021,W,48,116,44,93,47.3,14,43,32.6,14,19,73.7,5,38,43,37,17,21,6,23,30
DEN,DEN vs. CLE,10/25/2021,L,48,87,35,86,40.7,9,38,23.7,8,12,66.7,11,36,47,21,22,10,3,22,-12
MIN,MIN vs. NOP,10/25/2021,L,48,98,31,90,34.4,15,50,30,21,27,77.8,11,30,41,20,11,10,7,19,-9
BKN,BKN vs. WAS,10/25/2021,W,48,104,40,94,42.6,10,35,28.6,14,17,82.4,7,47,54,23,9,6,4,19,14
TOR,TOR vs. CHI,10/25/2021,L,48,108,40,83,48.2,12,30,40,16,20,80,13,34,47,27,21,8,1,18,-3
NOP,NOP @ MIN,10/25/2021,W,48,107,39,87,44.8,10,30,33.3,19,23,82.6,15,45,60,19,20,5,5,20,9
DEN,DEN @ UTA,10/26/2021,L,48,110,42,83,50.6,10,28,35.7,16,24,66.7,5,30,35,19,13,9,3,23,-12
OKC,OKC vs. GSW,10/26/2021,L,48,98,36,86,41.9,12,34,35.3,14,17,82.4,9,33,42,19,14,7,3,18,-8
PHI,PHI @ NYK,10/26/2021,L,48,99,36,82,43.9,12,41,29.3,15,17,88.2,12,28,40,24,15,9,4,14,-13
LAL,LAL @ SAS,10/26/2021,W,53,125,50,105,47.6,8,30,26.7,17,22,77.3,9,47,56,20,13,8,10,21,4
NYK,NYK vs. PHI,10/26/2021,W,48,112,41,87,47.1,16,37,43.2,14,15,93.3,13,32,45,24,15,7,5,18,13
HOU,HOU @ DAL,10/26/2021,L,48,106,36,86,41.9,16,39,41,18,26,69.2,11,38,49,24,17,7,3,21,-10
DAL,DAL vs. HOU,10/26/2021,W,48,116,43,93,46.2,12,43,27.9,18,25,72,14,36,50,25,15,9,7,22,10
UTA,UTA vs. DEN,10/26/2021,W,48,122,44,85,51.8,12,39,30.8,22,29,75.9,8,33,41,20,14,5,6,22,12
GSW,GSW @ OKC,10/26/2021,W,48,106,39,83,47,14,40,35,14,18,77.8,7,39,46,30,15,9,8,20,8
SAS,SAS vs. LAL,10/26/2021,L,53,121,48,108,44.4,13,36,36.1,12,22,54.5,16,43,59,33,16,10,6,22,-4
LAL,LAL @ OKC,10/27/2021,L,48,115,46,92,50,11,35,31.4,12,14,85.7,10,30,40,29,17,8,2,22,-8
TOR,TOR vs. IND,10/27/2021,W,48,118,46,100,46,14,30,46.7,12,19,63.2,16,25,41,22,12,18,6,20,18
ORL,ORL vs. CHA,10/27/2021,L,48,111,43,88,48.9,15,40,37.5,10,13,76.9,8,25,33,22,19,6,2,21,-9
BOS,BOS vs. WAS,10/27/2021,L,48,107,37,85,43.5,10,29,34.5,23,28,82.1,10,27,37,18,13,9,5,21,-9
POR,POR vs. MEM,10/27/2021,W,48,116,39,84,46.4,15,36,41.7,23,31,74.2,13,35,48,22,14,11,6,20,20
MIN,MIN @ MIL,10/27/2021,W,48,113,43,91,47.3,13,45,28.9,14,17,82.4,10,39,49,29,17,5,4,20,5
NOP,NOP vs. ATL,10/27/2021,L,48,99,40,93,43,11,36,30.6,8,9,88.9,9,35,44,24,10,5,6,19,-3
LAC,LAC vs. CLE,10/27/2021,L,48,79,31,87,35.6,9,41,22,8,13,61.5,9,27,36,19,14,13,2,24,-13
MIL,MIL vs. MIN,10/27/2021,L,48,108,39,95,41.1,14,51,27.5,16,21,76.2,13,30,43,22,9,10,3,18,-5
BKN,BKN vs. MIA,10/27/2021,L,48,93,33,85,38.8,14,43,32.6,13,14,92.9,4,38,42,21,16,7,7,24,-13
WAS,WAS @ BOS,10/27/2021,W,48,116,43,84,51.2,9,25,36,21,29,72.4,11,36,47,18,16,8,7,20,9
CLE,CLE @ LAC,10/27/2021,W,48,92,33,81,40.7,3,20,15,23,27,85.2,14,43,57,12,21,9,3,14,13
CHA,CHA @ ORL,10/27/2021,W,48,120,43,83,51.8,14,30,46.7,20,24,83.3,10,30,40,22,17,14,4,14,9
MIA,MIA @ BKN,10/27/2021,W,48,106,38,96,39.6,8,29,27.6,22,26,84.6,17,45,62,21,15,6,2,19,13
MEM,MEM @ POR,10/27/2021,L,48,96,35,96,36.5,17,50,34,9,19,47.4,21,29,50,27,22,9,3,25,-20
SAC,SAC @ PHX,10/27/2021,W,48,110,42,95,44.2,15,38,39.5,11,15,73.3,8,32,40,28,12,7,6,20,3
PHX,PHX vs. SAC,10/27/2021,L,48,107,42,93,45.2,6,22,27.3,17,24,70.8,14,42,56,23,11,6,6,16,-3
OKC,OKC vs. LAL,10/27/2021,W,48,123,43,86,50,15,37,40.5,22,29,75.9,10,32,42,21,16,8,3,16,8
ATL,ATL @ NOP,10/27/2021,W,48,102,40,96,41.7,8,30,26.7,14,17,82.4,21,34,55,21,11,4,4,14,3
IND,IND @ TOR,10/27/2021,L,48,100,38,79,48.1,10,29,34.5,14,17,82.4,9,31,40,19,23,6,7,19,-18
HOU,HOU vs. UTA,10/28/2021,L,48,91,31,95,32.6,9,44,20.5,20,23,87,13,28,41,15,11,8,3,24,-31
UTA,UTA @ HOU,10/28/2021,W,48,122,41,85,48.2,16,46,34.8,24,30,80,10,48,58,24,20,8,4,23,31
WAS,WAS vs. ATL,10/28/2021,W,48,122,46,99,46.5,13,34,38.2,17,21,81,14,37,51,26,9,6,4,16,11
SAS,SAS @ DAL,10/28/2021,L,48,99,39,88,44.3,12,30,40,9,15,60,11,37,48,21,15,6,11,16,-5
PHI,PHI vs. DET,10/28/2021,W,48,110,38,76,50,12,27,44.4,22,24,91.7,6,40,46,22,21,7,9,23,8
DAL,DAL vs. SAS,10/28/2021,W,48,104,41,89,46.1,18,45,40,4,13,30.8,9,36,45,18,13,4,7,19,5
ATL,ATL @ WAS,10/28/2021,L,48,111,48,88,54.5,6,21,28.6,9,14,64.3,6,37,43,26,13,4,3,16,-11
NYK,NYK @ CHI,10/28/2021,W,48,104,39,85,45.9,11,29,37.9,15,20,75,11,38,49,16,13,5,7,21,1
MEM,MEM @ GSW,10/28/2021,W,53,104,39,97,40.2,12,48,25,14,14,100,10,41,51,25,18,17,9,14,3
DET,DET @ PHI,10/28/2021,L,48,102,35,86,40.7,13,39,33.3,19,27,70.4,10,27,37,22,14,11,4,22,-8
CHI,CHI vs. NYK,10/28/2021,L,48,103,36,84,42.9,11,32,34.4,20,22,90.9,5,32,37,25,7,6,5,18,-1
GSW,GSW vs. MEM,10/28/2021,L,53,101,39,90,43.3,14,40,35,9,12,75,7,41,48,29,23,8,7,17,-3
LAC,LAC @ POR,10/29/2021,L,48,92,34,87,39.1,15,42,35.7,9,16,56.3,6,37,43,17,13,7,5,14,-19
DEN,DEN vs. DAL,10/29/2021,W,48,106,43,83,51.8,11,36,30.6,9,13,69.2,5,46,51,28,20,8,3,24,31
POR,POR vs. LAC,10/29/2021,W,48,111,41,98,41.8,19,41,46.3,10,16,62.5,16,47,63,21,14,8,6,19,19
TOR,TOR vs. ORL,10/29/2021,W,48,110,43,86,50,9,30,30,15,22,68.2,9,31,40,18,8,11,2,18,1
ORL,ORL @ TOR,10/29/2021,L,48,109,41,87,47.1,16,34,47.1,11,16,68.8,12,34,46,24,17,1,5,24,-1
MIA,MIA vs. CHA,10/29/2021,W,48,114,43,91,47.3,9,35,25.7,19,19,100,16,44,60,23,18,6,3,20,15
BKN,BKN vs. IND,10/29/2021,W,48,105,34,76,44.7,6,26,23.1,31,41,75.6,10,40,50,20,18,9,6,21,7
CLE,CLE @ LAL,10/29/2021,L,48,101,37,87,42.5,12,34,35.3,15,22,68.2,16,20,36,28,15,10,1,13,-12
DAL,DAL @ DEN,10/29/2021,L,48,75,23,78,29.5,8,37,21.6,21,27,77.8,6,30,36,14,15,8,3,17,-31
NOP,NOP vs. SAC,10/29/2021,L,48,109,42,98,42.9,9,34,26.5,16,25,64,13,36,49,18,10,9,6,22,-4
IND,IND @ BKN,10/29/2021,L,48,98,37,93,39.8,8,29,27.6,16,23,69.6,11,35,46,20,14,9,7,27,-7
LAL,LAL vs. CLE,10/29/2021,W,48,113,46,84,54.8,12,27,44.4,9,10,90,11,31,42,24,22,9,6,20,12
